time(ms),Noodle raw, Noodle V, Noodle I, Noodle I filt, Cami raw, Cami V, Cami I, Cami I filt
50000,514,2.51,0.07,0.19,512,2.50,0.01,0.03
50100,537,2.62,0.67,0.31,516,2.52,0.12,0.03
50200,518,2.53,0.17,0.21,514,2.51,0.07,0.02
50300,515,2.52,0.09,0.26,511,2.50,-0.01,0.03
50400,526,2.57,0.38,0.27,512,2.50,0.01,0.02
50500,531,2.60,0.52,0.25,513,2.51,0.04,0.02
50600,520,2.54,0.22,0.21,515,2.52,0.09,0.01
50700,515,2.52,0.09,0.23,513,2.51,0.04,0.03
50800,523,2.56,0.30,0.22,515,2.52,0.09,0.02
50900,514,2.51,0.07,0.22,509,2.49,-0.07,0.03
51000,515,2.52,0.09,0.27,507,2.48,-0.12,0.03
51100,519,2.54,0.20,0.36,512,2.50,0.01,0.03
51200,489,2.39,-0.59,0.38,515,2.52,0.09,0.03
51300,515,2.52,0.09,0.28,509,2.49,-0.07,0.01
51400,524,2.56,0.33,0.28,512,2.50,0.01,0.04
51500,519,2.54,0.20,0.27,512,2.50,0.01,0.03
51600,530,2.59,0.49,0.36,511,2.50,-0.01,0.01
51700,511,2.50,-0.01,0.07,514,2.51,0.07,0.02
51800,516,2.52,0.12,0.04,515,2.52,0.09,0.05
51900,516,2.52,0.12,0.05,511,2.50,-0.01,0.04
52000,509,2.49,-0.07,0.06,514,2.51,0.07,0.04
52100,514,2.51,0.07,0.06,512,2.50,0.01,0.03
52200,512,2.50,0.01,0.03,508,2.48,-0.09,0.03
52300,515,2.52,0.09,0.05,510,2.49,-0.04,0.02
52400,513,2.51,0.04,0.05,513,2.51,0.04,0.03
52500,512,2.50,0.01,0.04,513,2.51,0.04,0.03
52600,514,2.51,0.07,0.05,513,2.51,0.04,0.03
52700,511,2.50,-0.01,0.04,513,2.51,0.04,0.03
52800,515,2.52,0.09,0.05,514,2.51,0.07,0.03
52900,513,2.51,0.04,0.05,513,2.51,0.04,0.04
53000,511,2.50,-0.01,0.04,510,2.49,-0.04,0.02
53100,512,2.50,0.01,0.06,510,2.49,-0.04,0.04
53200,516,2.52,0.12,0.05,511,2.50,-0.01,0.03
53300,516,2.52,0.12,0.05,512,2.50,0.01,0.02
53400,513,2.51,0.04,0.06,514,2.51,0.07,0.02
53500,510,2.49,-0.04,0.05,519,2.54,0.20,0.03
53600,517,2.53,0.15,0.06,512,2.50,0.01,0.02
53700,515,2.52,0.09,0.06,515,2.52,0.09,0.04
53800,511,2.50,-0.01,0.04,511,2.50,-0.01,0.04
53900,515,2.52,0.09,0.04,513,2.51,0.04,0.05
54000,513,2.51,0.04,0.07,516,2.52,0.12,0.02
54100,514,2.51,0.07,0.04,514,2.51,0.07,0.01
54200,515,2.52,0.09,0.05,512,2.50,0.01,0.03
54300,513,2.51,0.04,0.05,512,2.50,0.01,0.02
54400,518,2.53,0.17,0.04,509,2.49,-0.07,0.02
54500,512,2.50,0.01,0.05,513,2.51,0.04,0.02
54600,516,2.52,0.12,0.07,513,2.51,0.04,0.03
54700,513,2.51,0.04,0.04,516,2.52,0.12,0.04
54800,513,2.51,0.04,0.03,511,2.50,-0.01,0.02
54900,510,2.49,-0.04,0.03,517,2.53,0.15,0.04
55000,514,2.51,0.07,0.02,508,2.48,-0.09,0.01
55100,515,2.52,0.09,0.04,513,2.51,0.04,0.02
55200,511,2.50,-0.01,0.04,514,2.51,0.07,0.04
55300,511,2.50,-0.01,0.05,513,2.51,0.04,0.03
55400,511,2.50,-0.01,0.05,512,2.50,0.01,0.04
55500,514,2.51,0.07,0.07,517,2.53,0.15,0.05
55600,513,2.51,0.04,0.06,516,2.52,0.12,0.03
55700,513,2.51,0.04,0.05,514,2.51,0.07,0.04
55800,513,2.51,0.04,0.06,516,2.52,0.12,0.05
55900,514,2.51,0.07,0.04,515,2.52,0.09,0.03
56000,506,2.47,-0.15,0.05,517,2.53,0.15,0.03
56100,515,2.52,0.09,0.05,512,2.50,0.01,0.02
56200,517,2.53,0.15,0.06,509,2.49,-0.07,0.03
56300,512,2.50,0.01,0.06,513,2.51,0.04,0.04
56400,514,2.51,0.07,0.05,514,2.51,0.07,0.04
56500,519,2.54,0.20,0.06,511,2.50,-0.01,0.04
56600,514,2.51,0.07,0.04,514,2.51,0.07,0.05
56700,512,2.50,0.01,0.04,514,2.51,0.07,0.05
56800,511,2.50,-0.01,0.03,510,2.49,-0.04,0.03
56900,514,2.51,0.07,0.04,512,2.50,0.01,0.03
57000,516,2.52,0.12,0.06,513,2.51,0.04,0.02
57100,514,2.51,0.07,0.04,508,2.48,-0.09,0.03
57200,508,2.48,-0.09,0.05,512,2.50,0.01,0.03
57300,514,2.51,0.07,0.05,514,2.51,0.07,0.03
57400,512,2.50,0.01,0.04,517,2.53,0.15,0.02
57500,511,2.50,-0.01,0.04,514,2.51,0.07,0.04
57600,513,2.51,0.04,0.04,516,2.52,0.12,0.04
57700,512,2.50,0.01,0.07,510,2.49,-0.04,0.03
57800,514,2.51,0.07,0.03,515,2.52,0.09,0.02
57900,509,2.49,-0.07,0.04,518,2.53,0.17,0.04
58000,510,2.49,-0.04,0.03,509,2.49,-0.07,0.02
58100,510,2.49,-0.04,0.04,512,2.50,0.01,0.04
58200,512,2.50,0.01,0.03,516,2.52,0.12,0.04
58300,511,2.50,-0.01,0.03,515,2.52,0.09,0.04
58400,517,2.53,0.15,0.07,514,2.51,0.07,0.05
58500,510,2.49,-0.04,0.02,512,2.50,0.01,0.04
58600,513,2.51,0.04,0.06,511,2.50,-0.01,0.01
58700,516,2.52,0.12,0.04,516,2.52,0.12,0.03
